load,L,seed,rho_hat,ic_slack,ic_slack_pct,best_multiplier,strategic_rho,regret,learned_reward,best_fixed_reward,truthful_utility,theory_rho_T_over_L,theory_sqrt_LT
1.2,240,9402,0.6054166666666667,1121.0475780270062,0.09017494932258996,0.95,0.5,5749.075371218118,-142464.38250210072,-136715.3071308826,1243191.8026552966,6.054166666666666,758.946638440411
0.6,30,10132,0.0125,0.0,0.0,1.0,0.0125,93.07730852393433,-118094.41831630426,-118001.34100778033,385881.2806383741,1.0,268.32815729997475
0.6,60,10162,0.05,0.0,0.0,1.0,0.05,5773.409938725337,-113297.12673223007,-107523.71679350473,351490.92808762816,2.0,379.4733192202055
0.6,120,10222,0.05,632.3311667107628,0.17481470208248964,0.95,0.023333333333333334,4945.0974323099945,-122462.03885762798,-117516.94142531799,361715.09557152994,1.0,536.6563145999495
0.6,240,10342,0.0,0.0,0.0,1.0,0.0,0.0,-118450.73093227207,-118450.73093227207,298256.0409440256,0.0,758.946638440411
0.9,30,10162,0.2679166666666667,111.79313809785526,0.013048984925372412,1.05,0.3441666666666667,4988.640805490082,-141581.8846843123,-136593.24387882222,856719.0378194473,21.433333333333337,268.32815729997475
0.9,60,10192,0.27166666666666667,981.1993703105254,0.1114913003753705,1.05,0.3125,6758.600479167566,-141732.74185606817,-134974.1413769006,880068.1012841444,10.866666666666667,379.4733192202055
0.9,120,10252,0.4,0.0,0.0,1.0,0.4,4071.7761586815177,-140131.24953224088,-136059.47337355936,1178285.9028477848,8.0,536.6563145999495
0.9,240,10372,0.2604166666666667,0.0,0.0,1.0,0.2604166666666667,2654.585932664515,-139344.70738235925,-136690.12144969474,912721.8638347846,2.6041666666666665,758.946638440411
1.2,30,10192,0.62,0.0,0.0,1.0,0.62,1331.2874505824293,-149095.59317567383,-147764.3057250914,1352265.8574479353,49.6,268.32815729997475
1.2,60,10222,0.43333333333333335,5130.961742946645,0.39984602500445277,1.1,0.5658333333333333,1131.308153586695,-147847.2375861375,-146715.9294325508,1283234.4007645207,17.333333333333332,379.4733192202055
1.2,120,10282,0.65,497.3133702215273,0.038833655417741204,1.05,0.65,143.0058594320144,-146222.5801976764,-146079.5743382444,1280624.6665986767,13.0,536.6563145999495
1.2,240,10402,0.6,1789.8368994123302,0.11925297507373539,0.95,0.5,763.7743109310104,-141823.14566024524,-141059.37134931423,1500874.0019321572,6.0,758.946638440411
0.6,30,11132,0.009166666666666667,0.0,0.0,1.0,0.009166666666666667,4.009625855018385,-115746.97973451881,-115742.9701086638,436579.9162269971,0.7333333333333333,268.32815729997475
0.6,60,11162,0.075,10.6057285660645,0.0020012398299009064,1.05,0.075,150.7064951466309,-127337.0325163573,-127186.32602121067,529957.8994782276,3.0,379.4733192202055
0.6,120,11222,0.0,0.0,0.0,1.0,0.0,0.0,-112819.5754954608,-112819.5754954608,364758.7451971276,0.0,536.6563145999495
0.6,240,11342,0.0,0.0,0.0,1.0,0.0,0.0,-113824.48954839274,-113824.48954839274,446150.10051872046,0.0,758.946638440411
0.9,30,11162,0.21625,1389.1421327268472,0.1463380483630417,1.05,0.3025,3280.1400515050627,-141316.9870218004,-138036.84697029533,949269.2763542971,17.3,268.32815729997475
0.9,60,11192,0.27375,4559.970869355369,0.4621308503865804,1.05,0.2966666666666667,4932.194990608492,-137422.125997311,-132489.9310067025,986727.2149307659,10.95,379.4733192202055
0.9,120,11252,0.25,0.0,0.0,1.0,0.25,7821.325680213078,-143122.51864983677,-135301.1929696237,1108596.1854823185,5.0,536.6563145999495
0.9,240,11372,0.1,0.0,0.0,1.0,0.1,95.75977384918951,-132385.48461290446,-132289.72483905527,1041181.824404384,1.0,758.946638440411
1.2,30,11192,0.505,6065.0200018561445,0.44841467719603456,0.9,0.56125,1308.4223878563498,-147320.22091928707,-146011.79853143072,1352547.164553377,40.4,268.32815729997475
1.2,60,11222,0.6595833333333333,12367.476158018224,0.8630092142538425,1.2,0.7345833333333334,1032.3476595699321,-147901.276495095,-146868.92883552506,1433064.2076297111,26.383333333333333,379.4733192202055
1.2,120,11282,0.60125,19277.81705817394,1.227564983558519,1.05,0.5554166666666667,2807.357697407686,-147017.5589667947,-144210.201269387,1570411.1241663608,12.024999999999999,536.6563145999495
1.2,240,11402,0.4,944.6466309172101,0.11293325942568898,0.95,0.40041666666666664,974.1170249466086,-149630.72160186636,-148656.60457691975,836464.5063120625,4.0,758.946638440411
